long,lat,name,X.U.05E7..U.05D5..U.05D3._.U.05E1.,elc,group_,F_.U.05E6..U.05D5..U.05D5..U.05EA.
34.808214546000045,31.259018768000033,ג/2,17,יש,0,
34.80789157400005,31.259795091000058,ג/1,17,יש,0,
34.809368438000035,31.25924937600007,ג/25,17,יש,0,
34.80936349500007,31.257304928000053,ג/33,17,אין,0,
34.810975436000035,31.25747975200005,ג/36,17,אין,0,
34.81033456800003,31.258424086000048,ג/3,17,יש,0,
34.805622382000024,31.25424629400004,ג/7,17,יש,0,
34.80269352500005,31.255173057000036,ג/23,17,יש,0,
34.80447376800004,31.255645646000062,ג/22,17,יש,0,
34.80952510100008,31.253666206000048,ג/39,17,יש,0,
34.80755207800007,31.253733028000056,ג/26,17,יש,0,
34.808555186000035,31.25698128500005,ג/31,17,,0,
34.76512061400007,31.25707523500006,מ/3,17,יש,0,
34.763648620000026,31.257608025000025,מ/5,0,אין,0,
34.762845449000054,31.25754626300005,מ/4,0,יש,0,
34.77867450400004,31.270085564000055,ו/8,17,יש,0,
34.777707399000064,31.270290500000044,ו/7,17,יש,0,
34.77622771000006,31.269501219000063,ו/6,17,יש,0,
34.77013884400003,31.26584829600006,ו/3,17,יש,0,
34.78692852900008,31.25972543100005,מ/6,0,,0,
34.79518494400003,31.26461114400007,ד/9,17,יש,0,
34.799772576000066,31.266921333000028,ד/37,17,יש,0,
34.79408100100005,31.26043204700005,ד/40,17,אין,0,
34.791620884000054,31.259605872000066,ד/30,17,,0,
34.79067905900007,31.26276286800004,ד/44,17,יש,0,
34.79068958000005,31.263789048000035,ד/21,17,יש,0,
34.79273660100006,31.261942934000047,ד/38,17,יש,0,
34.792314590000046,31.263810208000052,ד/29,17,יש,0,
34.792749238000056,31.26326447100007,ד/45,17,יש,0,
34.79274392900004,31.263504445000024,ד/39,17,יש,0,
34.79052351100006,31.262432614000033,ד/13,17,אין,0,
34.78834339200006,31.27085801800007,ד/35,17,יש,0,
34.78676390800007,31.271199657000068,ד/55,17,אין,0,
34.78560297200005,31.270725645000027,ד/52,17,יש,0,
34.78520561300007,31.271274730000073,ד/54,17,יש,0,
34.787070295000035,31.271863030000077,ד/56,17,אין,0,
34.78758881700003,31.272085533000052,ד/58,17,יש,0,
34.793911620000074,31.272612679000076,ד/2,17,אין,0,
34.79249052900008,31.272427384000025,ד/1,17,אין,0,
34.794108074000064,31.270405192000055,ד/46,17,יש,0,
34.80145007800007,31.266736774000037,ד/49,17,יש,0,
34.79216177200004,31.26281191700008,ד/11,17,יש,0,
34.795642514000065,31.245592719000058,א/10,17,יש,0,
34.79709718400005,31.248994151000034,א/18,17,אין,0,
34.79703768600007,31.25018874700004,א/9,17,יש,0,
34.79366214400005,31.245919231000073,א/17,17,יש,0,
34.79149496600007,31.246768580000037,א/1,17,יש,0,
34.78489074600003,31.247992382000064,א/12,17,יש,0,
34.78758361400003,31.247841289000064,א/5,17,יש,0,
34.78735539500008,31.249363784000025,א/16,17,יש,0,
34.78571473300008,31.250175772000034,א/4,17,יש,0,
34.77942232600003,31.24872554700005,ה/9,17,יש,0,
34.779619324000066,31.24861090400003,ה/13,17,יש,0,
34.78412648500006,31.251846362000038,ה/6,17,יש,0,
34.78286292100006,31.251873610000075,ה/12,17,יש,0,
34.777928261000056,31.25094606700003,ה/11,17,יש,0,
34.782604796000044,31.253505949000044,ה/2,17,יש,0,
34.78325380500007,31.257884104000027,בא/2,17,אין,0,
34.79008506100007,31.254027001000054,ב/8,17,יש,0,
34.79636985600007,31.25591188800007,ב/9,17,,0,
34.806238138000026,31.27101569100006,ר/11,17,יש,0,
34.80892102100006,31.27120549700004,ר/4,17,יש,0,
34.809585251000044,31.27035672200003,רמות/5,17,יש,0,
34.80860362900006,31.269982842000047,ר/3,17,ייש,0,
34.80935727800005,31.269822712000064,רמות/4,17,יש,0,
34.80912605100008,31.26930420900004,רמות/3,17,אין,0,
34.80677401200006,31.26999011600003,ר/9,17,יש,0,
34.80890927100006,31.268780106000065,רמות/2,17,אין,0,
34.80868059900007,31.26825275300007,רמות/1,17,יש,0,
34.807912927000075,31.26834514500007,ר/1,17,יש,0,
34.80432322900003,31.270695158000024,ר/13,17,יש,0,
34.80043996200004,31.27323147000004,ר/16,17,יש,0,
34.80886673900005,31.27333432000006,רמות/8,17,אין,0,
34.80850672300005,31.273792281000055,רמות/9,17,יש,0,
34.80924446700004,31.272874108000053,רמות/7,17,אין,0,
34.80813547500003,31.274249592000047,רמות/10,17,יש,0,
34.80779086500007,31.274657261000073,רמות/11,17,יש,0,
34.80962157400006,31.272394175000045,רמות/6,17,יש,0,
34.80693080100008,31.27394324000005,ר/22,17,יש,0,
34.806502575000025,31.27447600800008,ר/20,17,יש,0,
34.803725514000064,31.271704557000078,ר/14,17,יש,0,
34.802776814000026,31.272963822000065,ר/19,17,יש,0,
34.80273257700003,31.27571564300007,ר/25,17,יש,0,
34.80244651400005,31.274127841000052,ר/18,17,יש,0,
34.80256689700008,31.274632435000058,ר/24,17,יש,0,
34.804125362000036,31.27459690200004,ר/21,17,יש,0,
34.802364975000046,31.271494137000047,ר/15,17,יש,0,
34.805518128000074,31.271845761000066,ר/12,17,יש,0,
34.807438912000066,31.275141078000047,רמות/12,0,,0,
34.80701499600008,31.27558942400003,רמות/13,17,יש,0,
34.80649105100008,31.275929744000052,רמות/14,17,יש,0,
34.760429498000065,31.264930320000076,נע/22,17,יש,0,
34.763911704000066,31.270103943000038,נע/10,17,יש,0,
34.76562109400004,31.265940989000057,נע/17,17,יש,0,
34.766420751000055,31.266988738000066,נע/16,17,יש,0,
34.76089550900008,31.269783330000053,נע/12,17,יש,0,
34.76307320600006,31.270431544000076,נע/9,17,יש,0,
34.75984507900006,31.266575474000035,נע/23,17,יש,0,
34.76110681000006,31.266131746000042,נע/21,17,יש,0,
34.775540274000036,31.22150080700004,בקע/2,17,יש,0,
34.778900631000056,31.224164194000025,בקע/15,17,יש,0,
34.77741030900006,31.223587228000042,בקע/10,17,יש,0,
34.77860027400004,31.225833694000073,בקע/14,17,אין,0,
34.772666625000056,31.222024801000032,בקע/5,17,יש,0,
34.773724196000046,31.219757049000066,בקע/1,17,יש,0,
34.771815521000065,31.221235918000048,בקע/4,17,יש,0,
34.77566904400004,31.224912993000032,בקע/11,17,יש,0,
34.78023540100003,31.224000586000045,בקע/13,17,יש,0,
34.78026958600003,31.226181025000074,בקע/16,17,,0,
34.776331449000054,31.223021734000042,בקע/8,17,יש,0,
34.77530871600004,31.223806600000046,בקע/9,17,יש,0,
34.77435831200006,31.220976978000067,בקע/3,17,יש,0,
34.77361599900007,31.222977471000036,בקע/6,17,יש,0,
34.79237489700006,31.232178626000064,נ/2,17,יש,0,
34.78033953000005,31.232436934000077,נ/1,17,יש,0,
34.77973878100005,31.243122922000055,רסקו/2,17,יש,0,
34.78438076400005,31.235916617000044,ע/9,17,יש,0,
34.78472582400008,31.238806793000037,ע/2,17,יש,0,
34.78175524000005,31.23706512800004,ע/1,17,יש,0,
34.79249850400004,31.24825906800004,א/7,17,יש,0,
34.78681265400007,31.251491909000038,א/14,17,יש,0,
34.789983894000045,31.25043923800007,א/13,17,יש,0,
34.789128825000034,31.250493307000056,א/3,17,יש,0,
34.78795333200003,31.25180831600005,א/15,17,יש,0,
34.794213641000056,31.24615337700004,א/6,17,יש,0,
34.79455329600006,31.25063073900003,א/8,17,יש,0,
34.790354679000075,31.255636150000043,ב/11,17,יש,0,
34.795988882000074,31.256696517000023,ב/3,17,יש,0,
34.79417254800006,31.25495720500004,ב/4,17,יש,0,
34.795403445000034,31.257290099000045,ב/10,17,יש,0,
34.78914436100007,31.254601440000044,ב/1,17,יש,0,
34.793907173000036,31.256567933000042,ב/6,17,יש,0,
34.79650420000007,31.25503130100003,ב/5,17,יש,0,
34.78929479800007,31.257517387000064,ב/7,17,יש,0,
34.78154786600004,31.25792453300005,בא/1,17,אין,0,
34.783656121000035,31.257905649000065,בא/3,17,אין,0,
34.77515807300006,31.222656567000058,בקע/7,17,יש,0,
34.780917947000034,31.224564345000033,בקע/12,17,יש,0,
34.78182231200003,31.242684396000072,רסקו/1,17,יש,0,
34.78161783300004,31.240248009000027,ע/7,17,יש,0,
34.78334433500004,31.23996100900007,ע/4,17,יש,0,
34.76235113700005,31.267945217000033,נע/14,17,יש,0,
34.76264292900004,31.263829858000065,נע/20,17,יש,0,
34.77178594900005,31.27023659500003,נע/1,17,יש,0,
34.77095772000007,31.26987534700004,נע/2,17,יש,0,
34.763615393000066,31.26514481600003,נע/19,17,יש,0,
34.76190931600007,31.269064833000073,נע/13,17,יש,0,
34.76446333700005,31.26816997700007,נע/15,17,יש,0,
34.76487284700005,31.26937708400004,נע/11,17,יש,0,
34.75778121600007,31.265713315000028,נע/24,17,יש,0,
34.770979358000034,31.270953035000048,נע/4,17,יש,0,
34.76567310300004,31.27220407200008,נע/8,17,יש,0,
34.76437993600007,31.26450337500006,נע/18,17,יש,0,
34.76754747800004,31.271228369000028,נע/7,17,יש,0,
34.769529817000034,31.27158110000005,נע/5,17,יש,0,
34.77330567200005,31.256697924000036,מ/1,17,יש,0,
34.77341536800003,31.257101161000037,מ/2,17,יש,0,
34.805293723000034,31.269666226000027,ר/10,17,יש,0,
34.805267585000024,31.275281239000037,ר/23,17,יש,0,
34.800891017000026,31.274241079000035,ר/17,17,יש,0,
34.80830698700004,31.269109099000048,ר/2,17,יש,0,
34.80672107500004,31.272405753000044,ר/7,17,יש,0,
34.80885183400005,31.259808640000074,ג/43,17,אין,0,
34.801984737000055,31.250707328000033,ג/46,17,יש,0,
34.80657439700008,31.251678113000025,ג/11,17,יש,0,
34.810013871000024,31.25253210900007,ג/12,17,יש,0,
34.80812640900007,31.248661324000068,ג/29,17,יש,0,
34.77803472800008,31.25545106900006,ה/1,17,יש,0,
34.782620235000024,31.249019485000076,ה/5,17,יש,0,
34.77078584100008,31.267008799000052,ו/2,17,יש,0,
34.77231907400005,31.268288835000078,ו/4,17,יש,0,
34.774894422000045,31.269309503000045,ו/5,17,יש,0,
34.77918176000003,31.250801417000048,ה/4,17,יש,0,
34.794869850000055,31.26809726700003,ד/7,17,אין,0,
34.797090780000076,31.267967285000054,ד/47,17,לא,0,
34.795007293000026,31.267170004000036,ד/42,17,יש,0,
34.79702511000005,31.26101713500003,ד/17,17,יש,0,
34.79658721900006,31.260487156000067,ד/32,17,יש,0,
34.79533861500005,31.261171405000027,ד/16,17,יש,0,
34.79354432800005,31.260286697000026,ד/18,17,אין,0,
34.79291930800008,31.26085646300004,ד/15,17,יש,0,
34.792935397000065,31.25895700800004,ד/41,17,יש,0,
34.793959803000064,31.266908885000078,ד/31,17,יש,0,
34.79524779800005,31.264312395000047,ד/33,17,יש,0,
34.79707321700005,31.264425070000073,ד/23,17,יש,0,
34.79446444000007,31.262675503000025,ד/10,17,יש,0,
34.797426589000054,31.26262838400004,ד/22,17,יש,0,
34.792997642000046,31.26635410800003,ד/20,17,יש,0,
34.78549202100004,31.237869428000067,ע/3,17,יש,0,
34.78899807500005,31.237196182000048,ע/6,17,יש,0,
34.804945893000024,31.252297618000057,ג/19,17,יש,0,
34.81009621800007,31.255127623000078,ג/37,17,יש,0,
34.808716111000024,31.25553667300005,ג/38,17,יש,0,
34.783396279000044,31.271009238000033,ד/60,17,יש,0,
34.785039933000064,31.269785926000054,ד/59,17,יש,0,
34.79599897500003,31.24889880300003,א/2,17,יש,0,
34.80513943600005,31.25019478300004,ג/14,17,יש,0,
34.802841956000066,31.250113594000027,ג/15,17,יש,0,
34.80615343900007,31.248703956000043,ג/16,17,יש,0,
34.80434470700004,31.248259593000057,ג/17,17,אין,0,
34.80726405300004,31.247643195000023,ג/18,17,יש,0,
34.81146289000003,31.252913957000032,ג/20,17,יש,0,
34.80618518800003,31.25624390100006,ג/21,17,יש,0,
34.806567597000026,31.250285107000025,ג/24,17,,0,
34.810376580000025,31.256160082000065,ג/27,17,יש,0,
34.803695480000044,31.251041686000065,ג/28,17,אין,0,
34.808598704000076,31.249713179000025,ג/13,17,יש,0,
34.811233825000045,31.25815035100004,ג/42,17,יש,0,
34.809843013000034,31.259015917000056,ג/35,17,יש,0,
34.80944356800006,31.258119760000056,ג/34,17,יש,0,
34.808017291000056,31.25558649000004,ג/5,17,יש,0,
34.81033423500003,31.257155297000054,ג/4,17,יש,0,
34.807090706000054,31.254918092000025,ג/8,17,אין,0,
34.803519503000075,31.254532030000064,ג/6,17,יש,0,
34.808605526000065,31.24657262000005,ג/45,17,אין,0,
34.802861137000036,31.252072543000054,ג/30,17,יש,0,
34.79374784300006,31.26159975400003,ד/12,17,אין,0,
34.79561867600006,31.272166347000052,ד/28,17,יש,0,
34.79358614100005,31.27097161100005,ד/4,17,יש,0,
34.791918843000076,31.261658107000073,ד/14,17,אין,0,
34.79992937000003,31.264973377000047,ד/24,17,יש,0,
34.80118798800004,31.26584911300006,ד/25,17,יש,0,
34.801247481000075,31.268888678000053,ד/36,17,יש,0,
34.79234526700003,31.268304097000055,ד/27,17,יש,0,
34.796962387000065,31.270712531000072,ד/34,17,אין,0,
34.79476675700005,31.27142828800004,ד/3,17,יש,0,
34.808673396000074,31.25476906800003,ג/9,17,יש,0,
34.806870170000025,31.257070663000036,ג/44,17,יש,0,
34.77658768500004,31.246592109000062,ט/1,17,יש,0,
34.79294107000004,31.269205939000074,ד/5,17,יש,0,
34.791070099000024,31.24439156400007,ע/5,17,יש,0,
34.793558258000076,31.23143041700007,נ/3,17,יש,0,
34.79546348800005,31.269208157000037,ד/48,17,יש,0,
34.794853197000066,31.269363072000033,ד/6,17,יש,0,
34.786822716000074,31.270308577000037,ד/53,17,יש,0,
34.78573204600008,31.259574327000053,מ/7,0,,0,
34.79565300300004,31.27006074600007,ד/43,17,יש,0,
34.79139583800003,31.25648755800006,ב/2,17,יש,0,
34.77965608300008,31.24791562000007,ה/14,17,יש,0,
34.781008178000036,31.248154741000064,ה/15,0,,0,
34.77898084000003,31.254812955000034,ה/10,17,יש,0,
34.79487302200005,31.266566502000046,ד/8,17,יש,0,
34.780569927000045,31.250463508000053,ה/7,17,יש,0,
34.80237770600007,31.254182377000063,ג/41,17,אין,0,
34.796810434000065,31.26837912600007,ד/19,17,יש,0,
34.78354120000006,31.271307544000024,ד/51,17,יש,0,
34.78921211800008,31.24829516400007,א/11,17,יש,0,
34.80703833900003,31.273750758000062,ר/6,17,יש,0,
34.80801928000005,31.27259078900005,ר/5,17,יש,0,
34.80854958200007,31.25704040000005,ג/32,17,יש,0,
34.77931693600004,31.25269931500003,ה/3,17,יש,0,
34.80255429400006,31.251797270000054,ג/10,17,יש,0,
34.76984689900007,31.266341600000032,ו/1,17,יש,0,
34.80727280600007,31.27098784900005,ר/8,17,יש,0,
34.80086299900006,31.266029333000063,ד/26,17,יש,0,
34.81164565600005,31.25408293000004,ג/48,0,,0,
34.78429040800006,31.27013664800006,ד/57,0,,0,
34.795037980000075,31.240211396000063,ע/11,0,,0,
34.79612406100006,31.264656778000074,ד/50,0,,0,
34.808334993000074,31.246330439000076,ג/50,0,,0,
34.78255038900005,31.23477883700008,ע/10,0,,0,
34.808149154000034,31.25242828300003,ג/40,0,,0,
